question,answer
"I am emailing you inquiring if I could receive an extension on Homework EX07. I am about half way done with the assignment but struggling some. And with my other course loads I am not confident that I will be able to submit on time Tuesday. All of the past assignments I have been able to finish on time but I am struggling a bit on this one.

If an extension is not allowed I completely understand, however I could submit a much better version of the assignment if given the opportunity to submit Thursday.",Please make sure you will not use the solution I’ll present in class tomorrow.
"Can we use nltk module to solve the problem with combination of wordcloud, vader and matplotlib.
Your earliest reply would be very helpful.","Yes, you can use nltk."
I had submitted my EX01 assignment on time just the file uploaded was in incorrect format which I quickly updated as sson as you commented. Please look into the matter and remove the late submission penalty from my EX 01.,"I revised the grade, taking 1 point off, for the wrong type of submission (99%)."
"I want to display all the charts created in a pycharm on the screen at once. Currently, whenever I use plt.show() after the chart or graph, the chart appears on the screen and I have to close it in order to display the next one. I searched on stack overflow, seaborn, Matplotlib docs and geeks for geeks but could not find relevant answer for the same. 
Can you please assist me in the same? Since in one of my previous assignments I could not display the bar plot and pie chart both on the screen simultaneously without using subplots. Like in Jupyter Notebook, all the charts remain on the screen without the need to close one to display the next one.","Matplotlib is not very “smart”.
Once you use a plt.show, you need to clear the figure using plt.clf() before generating/showing the next."
Hope you're doing good. Firstly I want to thank you for the prompt response to all queries. I have a doubt about exercise 06. There are a lot of n/a values in the dataset. What is to be done of those?,You can just drop them.
"Bokeh - sample exercise
For the question below, can you please elaborate?

# Number of underloaded faculty over the years
# Line Plot
# Label the x-axis with the years
# Label the y-axis ""ID""

The way I understood is finding total number of underloaded faulty over the 4 years like below and plot a line graph. But this way, I don't see how ""ID"" comes into play.
ay underload
19-20 11
20-21 5
21-22 8
22-23 9","All the samples are available on Canvas, including the line plot (sample1, 2, 3).

Please let us know if additional help is needed."
"I was finding the courses per each program in which column ID defines faculty id and program defines programs offered. If courses are to calculate from Load, column then two faculties might take same course in single academic year.","1): Per each Academic Year, there is ""Load"" (number of classes taught by the faculty); ""Target"" (number of classes the faculty was assigned to teach); ""Balance"" (Load - Target).

2):id is the faculty"
"My midterm exam was graded earlier but a while ago I received an email saying my grade has been changed. Apparently , now I do not see any grade on the Canvas. Can you please look into the same?","We are reviewing all the grades for midterm.
By the weekend it will be fixed."
I wanted to ask if our final project for 624 B will be a group project or individual?,Final is individual project.
"I am a student in EM-624 class and had sent you a message on canvas about the marks on Exercise 2, but I think you do not check canvas frequently so sending you an email. You mentioned .isalpha() and .isdigit() not being check statements in the code but if you input an alphabet or a digit only then will it add to the counter otherwise it will not add to it, so it is a check statement, right? ",.isalpha() and .isdigit() is the boolean statement and only return True or False. You cannot pass any variables in parentheses. 
" apologize for the last minute notice, but I am feeling under the weather. I just took my temperature and I had a low grade fever. Out of an abundance of caution, and to avoid getting others sick, I will be visiting an urgent care facility this evening to get checked out. As a result, I will be unable to take the midterm exam today. ","We’ll reschedule it.
Is there any day/time you could not make it?
We’re taking all the preferences and the day/time will be set based on the preference of the majority.
There will be only 1 option."
